key,context,example,source,ru,es,pt,fr,de,it,ja,ko,zh-hans,zh-hant,id,th,tr,vi,pl,ar,orphan
,,Matchmaking error: the chosen match session is not valid,Invalid queue selection.,Неверный выбор очереди.,Selección de cola no válida.,Seleção de fila inválida.,Sélection de file d'attente non valide.,Ungültige Warteschlangenauswahl.,Selezione della coda non valida.,無効なキュー選択です。,잘못된 큐 선택입니다.,无效的队列选择。,無效的隊列選擇。,Pemilihan antrian yang tidak valid.,การเลือกคิวไม่ถูกต้อง,Geçersiz kuyruk seçimi.,Lựa chọn hàng đợi không hợp lệ.,Nieprawidłowy wybór kolejki.,اختيار الطابور غير صالح.,
,,Matchmaking error: the request to leave the match queue was malformed,Invalid leave request.,Неверный запрос на выход.,Solicitud de salida no válida.,Solicitação de saída inválida.,Demande de départ non valide.,Ungültige Abwesenheitsanfrage.,Richiesta di uscita non valida.,無効な退出リクエストです。,유효하지 않은 퇴장 요청입니다.,无效的离开请求。,無效的離開請求。,Permintaan cuti yang tidak valid.,คำขอออกไม่ถูกต้อง,Geçersiz ayrılma isteği.,Yêu cầu rời không hợp lệ.,Nieprawidłowa prośba o opuszczenie.,طلب المغادرة غير صالح.,
,,Matchmaking error: the player cannot leave because the match is already sending everyone to the game,This queue is teleporting.,Эта очередь телепортируется.,Esta cola se está teletransportando.,Esta fila está sendo teleportada.,Cette file d'attente se téléporte.,Diese Warteschlange wird teleportiert.,Questa coda si sta teletrasportando.,このキューはテレポートしています。,이 큐는 순간이동 중입니다.,这个队列正在传送中。,這個隊列正在傳送中。,Antrian ini sedang berteleportasi.,คิวนี้กำลังเทเลพอร์ตอยู่.,Bu kuyruk teleport ediliyor.,Hàng đợi này đang dịch chuyển.,Ta kolejka jest teleportowana.,: يتم نقل هذه الطابورة. ,
,,Matchmaking error: the client asked for a match action the server does not recognise,Unknown queue action.,Неизвестное действие очереди.,Acción de cola desconocida.,Ação de fila desconhecida.,Action de queue inconnue.,Unbekannte Warteschlangen-Aktion.,Azione di coda sconosciuta.,不明なキューアクションです。,알 수 없는 큐 동작입니다.,未知的队列操作。,未知的排隊動作。,Aksi antrian yang tidak diketahui.,ไม่ทราบการดำเนินการคิว ,Bilinmeyen kuyruk eylemi.,Không biết hành động hàng đợi là gì.,Nieznana akcja kolejki.,إجراء الطابور غير معروف.,
,,"Matchmaking error: the selected difficulty is not one of Easy, Medium or Hard",Choose a valid difficulty.,Выберите действительную сложность.,Elige una dificultad válida.,Escolha uma dificuldade válida.,Choisissez une difficulté valide.,Wähle eine gültige Schwierigkeit.,Scegli una difficoltà valida.,有効な難易度を選択してください。,유효한 난이도를 선택하세요.,选择一个有效的难度。 ,選擇一個有效的難度。,Pilih kesulitan yang valid.,เลือกความยากที่ถูกต้อง,Geçerli bir zorluk seçin.,Chọn một độ khó hợp lệ.,Wybierz poprawną trudność.,اختر صعوبة صالحة.,
,,Matchmaking error: the selected party size is not one the game allows,Choose a valid player count.,Выберите допустимое количество игроков.,Elige un número de jugadores válido.,Escolha uma contagem de jogadores válida.,Choisissez un nombre de joueurs valide.,Wähle eine gültige Spielerzahl.,Scegli un numero di giocatori valido.,有効なプレイヤー数を選択してください。,유효한 플레이어 수를 선택하세요.,选择一个有效的玩家数量。,選擇有效的玩家數量。,Pilih jumlah pemain yang valid.,เลือกจำนวนผู้เล่นที่ถูกต้อง,Geçerli bir oyuncu sayısı seçin.,Chọn một số người chơi hợp lệ.,Wybierz poprawną liczbę graczy.,اختر عدد اللاعبين الصالح.,
,,Matchmaking error: only the first player on the pad may set difficulty and party size,Only the queue leader can configure this match.,Только лидер очереди может настроить этот матч.,Solo el líder de la cola puede configurar esta partida.,Apenas o líder da fila pode configurar esta partida.,Seul le leader de la file d'attente peut configurer ce match.,Nur der Warteschlangenleiter kann dieses Match konfigurieren.,Solo il leader della coda può configurare questa partita.,このマッチを設定できるのはキューリーダーだけです。,큐의 리더만 이 매치를 구성할 수 있습니다.,只有队列队长才能配置此匹配。,只有隊列隊長才能設定這場比賽。,Hanya pemimpin antrian yang dapat mengkonfigurasi pertandingan ini.,เฉพาะผู้นำคิวเท่านั้นที่สามารถกำหนดค่าการแข่งขันนี้ได้ ,Sadece kuyruk lideri bu maçı yapılandırabilir.,Chỉ người dẫn đầu hàng đợi mới có thể cấu hình trận đấu này.,Tylko lider kolejki może skonfigurować ten mecz.,فقط قائد الطابور يمكنه تهيئة هذه المباراة.,
,,Matchmaking error: the party-size limit was set lower than the number of players already on the pad,Maximum players cannot be below the current player count.,Максимальное количество игроков не может быть меньше текущего количества игроков.,El número máximo de jugadores no puede ser inferior al número actual de jugadores.,O número máximo de jogadores não pode ser inferior ao número atual de jogadores.,Le nombre maximum de joueurs ne peut pas être inférieur au nombre actuel de joueurs.,Die maximale Anzahl von Spielern darf nicht unter der aktuellen Anzahl von Spielern liegen.,Il numero massimo di giocatori non può essere inferiore al numero attuale di giocatori.,最大プレイヤー数は、現在のプレイヤー数以下には設定できません。,최대 플레이어 수는 현재 플레이어 수보다 작을 수 없습니다.,最大玩家数量不能低于当前的玩家数量。,最大玩家數量不能低於當前的玩家數量。,Jumlah pemain maksimal tidak boleh di bawah jumlah pemain saat ini.,ผู้เล่นสูงสุดไม่สามารถต่ำกว่าจำนวนผู้เล่นปัจจุบันได้,Maksimum oyuncu sayısı mevcut oyuncu sayısının altında olamaz.,Số người chơi tối đa không thể thấp hơn số người chơi hiện tại.,Maksymalna liczba graczy nie może być niższa od aktualnej liczby graczy.,لا يمكن أن يكون الحد الأقصى لعدد اللاعبين أقل من عدد اللاعبين الحالي.,
,,Matchmaking error: the countdown has finished and settings can no longer change,This queue is already starting.,Эта очередь уже начинается.,Esta cola ya está empezando.,Esta fila já está começando.,Cette file d'attente commence déjà.,Diese Warteschlange beginnt bereits.,Questa coda sta già iniziando.,このキューはすでに開始されています。,이 대기열은 이미 시작되고 있습니다.,这个队列已经开始了。,這個隊列已經開始了。,Antrian ini sudah dimulai.,คิวนี้กำลังจะเริ่มแล้ว,Bu kuyruk zaten başlıyor.,Hàng đợi này đã bắt đầu.,Ta kolejka już się zaczyna.,هذه الطابورة بدأت بالفعل.,
,,Matchmaking error: the combination of difficulty and party size was rejected,Invalid queue configuration.,Неверная конфигурация очереди.,Configuración de cola no válida.,Configuração de fila inválida.,Configuration de file d'attente non valide.,Ungültige Warteschlangenkonfiguration.,Configurazione della coda non valida.,無効なキュー構成です。,잘못된 큐 구성입니다.,无效的队列配置。,無效的隊列設定。,Konfigurasi antrian yang tidak valid.,การกำหนดค่าคิวไม่ถูกต้อง,Geçersiz kuyruk yapılandırması.,Cấu hình hàng đợi không hợp lệ.,Niepoprawna konfiguracja kolejki.,تكوين الطابور غير صالح.,
,,,Starter Pack,Стартовый набор,Paquete de inicio ,Pacote de Iniciante,Kit de départ,Starterpaket ,Pacchetto iniziale ,スターターパック,스타터 팩,新手包 ,新手禮包,Paket Pemula ,แพ็คเริ่มต้น,Başlangıç Paketi ,Gói Khởi Đầu,Pakiet startowy,حزمة المبتدئين,
,,,Over x4 the value,Более x4 значение,Más de x4 el valor ,Mais de x4 o valor,Plus de x4 la valeur,Über x4 der Wert,Più di x4 il valore,値を4倍以上にする,값의 4배 이상,超过 x4 的值,超過 x4 值,Lebih dari x4 nilai,มากกว่า x4 ค่า,Değerin x4 katı,Vượt quá x4 giá trị,Ponad x4 wartość,أكثر من 4 أضعاف القيمة,
,,,x2 Cal,x2 калорий,x2 Calorías,x2 Cal,x2 Calories,x2 Kalorien,x2 Calorie,x2カロリー,x2 칼로리,x2 卡路里 ,x2 卡路里,x2 Kalori,x2 Cal,x2 Kalori,x2 Cal,x2 kalorie,×2 السعرات الحرارية,
,,,Bite+,Укусить+,Mordida+,Morder+,Mordre+,Beißen+,Morso+,噛む+,깨물기+,咬+,咬+,Gigit+,กัด+,Isır+,Cắn+,Ugryzienie+,العض+,
,,,x2 Speed,x2 Скорость,x2 Velocidad,x2 Velocidade,x2 Vitesse,x2 Geschwindigkeit,x2 Velocità,x2 スピード,x2 스피드,x2 速度,雙倍速度,x2 Kecepatan,x2 ความเร็ว,x2 Hız,x2 Tốc độ,x2 Prędkość,سرعة x2,
,,,Eats a whole layer,Съедает целый слой,Se come una capa entera ,Come uma camada inteira ,Mange une couche entière ,Iss eine ganze Schicht ,Mangia uno strato intero,全体の層を食べる,전체 층을 먹어요,吃掉一整层,吃掉整層,Memakan seluruh lapisan ,กินทั้งชั้น ,Tüm bir katman yer,Ăn cả một lớp,Zjada całą warstwę ,يأكل طبقة كاملة ,
,,,x2 Calories,x2 калорий,x2 Calorías ,x2 Calorias,x2 Calories,x2 Kalorien,x2 Calorie,x2カロリー,x2 칼로리,x2 卡路里,雙倍卡路里,x2 Kalori ,x2 แคลอรี่,x2 Kalori,x2 Calo,x2 Kalorie,×2 السعرات الحرارية,
,,,x2 cals (15m),x2 выстрелов (15 м),x2 cals (15m),x2 cals (15m),x2 cal (15m),x2 Schüsse (15m),x2 calorie (15m),x2カロリー（15m）,x2 캘 (15m),x2 口径（15米）,x2 口徑（15 公尺）,x2 kalori (15m),x2 แคล (15ม.),x2 kalori (15m),x2 cal (15m),x2 kalibry (15m),×2 الكالوريات (15 مترًا),
,,,Extra Bite,Дополнительный укус,Mordida extra,Mordida Extra,Morsure supplémentaire,Extra-Biss ,Morso Extra,エクストラバイト,추가 바이트,额外一口,額外一口,Gigitan Ekstra,กัดพิเศษ,Ekstra ısırma ,Thêm một miếng,Dodatkowe ugryzienie,لقمة إضافية,
,,,+40% bite (15m),+40% укуса (15 м),+40% mordida (15m),+40% mordida (15m),+40% morsure (15m),+40% Biss (15m),+40% morso (15m),+40% 噛みつき（15m）,+40% 물기 (15m),+40% 咬击伤害（15 米） ,+40% 咬擊力（15 公尺）,+40% gigitan (15m),+40% การกัด (15m),+40% ısırma (15m),+40% cú hấm (15m),+40% ugryzienia (15m),+40% العضة (15 مترًا),
,,,x2 speed (15m),x2 скорость (15м),x2 velocidad (15m),x2 velocidade (15m),x2 vitesse (15m),x2 Geschwindigkeit (15m),x2 velocità (15m),x2スピード（15m）,x2 스피드 (15m),x2 速度（15 米） ,雙倍速度（15公尺）,x2 kecepatan (15m),x2 ความเร็ว (15 ม.),x2 hız (15m),x2 tốc độ (15m),x2 prędkość (15m),سرعة x2 (15 مترًا),
,,,x2 Stomach,x2 Желудок,x2 Estómago ,x2 Estômago,x2 Estomac,x2 Magen,x2 Stomaco ,x2 胃,x2 배\n,x2 胃,x2 胃,x2 Perut ,x2 ท้อง ,x2 Mide,x2 Dạ dày,x2 Brzuch,x2 المعدة,
,,,x2 belly (15m),x2 живот (15м),x2 barriga (15m),x2 barriga (15m),x2 ventre (15m),x2 Bauch (15m),x2 pancia (15m),x2腹部（15m）,x2 배 (15m),x2 肚子（15米）,x2 肚子（15 公尺）,x2 perut (15m),x2 ท้อง (15ม.),x2 göbek (15m),x2 bụng (15m),x2 brzuszek (15m),×2 البطن (15 مترًا),
,,,100 Gems,100 самоцветов,100 Gemas ,100 Joias ,100 gemmes,100 Edelsteine ,100 gemme,100ジェム ,100 보석,100 颗宝石,100 顆寶石,100 Permata ,100 อัญมณี,100 Mücevher,100 đá quý ,100 klejnotów,100 جواهر ,
,,,Starter stash,Стартовый запас ,Botín de principiante,Esconderijo inicial ,Réserve de départ,Starter-Versteck ,Scorte iniziali ,スターターの隠れ家,스타터 스테시,新手藏品 ,新手藏身處,Simpanan awal ,ที่เก็บของเริ่มต้น,Başlangıç ​​depolama,Kho khởi đầu,Rezerwa startowa,المخبأ المبدئي,
,,,450 Gems,450 самоцветов,450 Gemas ,450 Gemas,450 gemmes,450 Edelsteine ,450 gemme,450ジェム,450 보석,450 颗宝石,450 顆寶石,450 Permata,450 เพชร,450 Mücevher,450 đá quý ,450 klejnotów,450 الأحجار الكريمة ,
,,,+12% bonus,+12% бонус,+12% de bonificación ,+12% de bônus,+12% de bonus,+12% Bonus,+12% bonus,+12% ボーナス,+12% 보너스,+12% 加成,+12% 獎勵,+12% bonus,+12% โบนัส,+12% bonus,+12% tiền thưởng,+12% bonusu,+12% مكافأة,
,,,"1,050 Gems",1 050 самоцветов,"1,050 Gemas ",1.050 Gemas,1 050 gemmes,1.050 Edelsteine ,1.050 gemme,"1,050ジェム","1,050 보석","1,050颗宝石 ","1,050 顆寶石",1.050 Permata ,"1,050 อัญมณี",1.050 Mücevher,1.050 đá quý ,1 050 klejnotów,1050 جواهر ,
,,,+17% bonus,+17% бонус,+17% de bonificación,+17% de bônus,+17% de bonus,+17% Bonus ,+17% bonus,+17% ボーナス,+17% 보너스,+17% 加成,+17% 獎勵,+17% bonus,+17% โบนัส,+17% bonus,+17% tiền thưởng,+17% bonusu,+17% مكافأة,
,,,"2,500 Gems","2,500 самоцветов ",2.500 Gemas ,2.500 Gemas ,2 500 gemmes,2.500 Edelsteine ,2.500 gemme ,"2,500ジェム","2,500 보석","2,500颗宝石 ","2,500顆寶石",2.500 Permata ,"2,500 อัญมณี",2.500 Mücevher,2.500 đá quý ,2 500 klejnotów,2500 الأحجار الكريمة ,
,,,+25% bonus,+25% бонус,+25% de bonificación ,+25% bônus,+25% de bonus,+25% Bonus ,+25% bonus,+25% ボーナス,+25% 보너스,+25% 加成,+25% 獎勵,+25% bonus,+25% โบนัส,+25% bonus,+25% tiền thưởng,+25% bonusu,+25% مكافأة,
,,,All cals x2,Все калибры x2,Todas las cals x2,Todos os Cals x2 ,Tous les Cals x2,Alle Cals x2,Tutte le calorie x2,すべてのカロリー x2,모든 칼로리 x2,所有伤害 x2\n ,所有卡路里 x2,Semua kalsium x2,ทุกแคล x2,Tüm atışlar x2,Tất cả calorie x2,Wszystkie kule x2,جميع المكالمات x2,
,,,x2 Gems,x2 драгоценных камней,x2 Gemas ,x2 Gemas ,x2 gemmes,x2 Edelsteine ,x2 gemme ,x2 ジェム,x2 보석,x2 宝石,雙倍寶石 ,x2 Permata ,x2 เพชร,x2 Mücevher,x2 Đá quý ,x2 Klejnoty ,×2 الجواهر ,
,,,Gem finds x2,Находки драгоценных камней x2,hallazgos de gemas x2,Achados de gemas x2,Trouve de gemmes x2,Gem-Funde x2,Ritrovamenti di gemme x2,ジェムの発見数 x2,보석 발견 x2,宝石发现量 x2,寶石發現數 x2,Penemuan permata x2 ,พบอัญมณี x2,Mücevher buluşları x2 ,Số lượng đá quý tìm thấy x2,Znalezione klejnoty x2,العثور على الأحجار الكريمة x2,
,,,Auto-Eat,Авто-еда,Auto-Comer,Auto-Comer,Mange automatique,Auto-Essen,Auto-Mangia ,自動食事,자동 먹기,自动进食,自動進食,Makan Otomatis,กินอัตโนมัติ,Otomatik Yemek,Tự động ăn,Auto-jedzenie,الأكل التلقائي,
,,,Eats for you,Ест за тебя,Come por ti ,Come por você,Mange pour vous,Essen für dich,Mangia per te,あなたのために食べます,당신을 위해 먹어요,为你吃饭 ,為你吃飯,Makan untuk Anda,กินให้คุณ,Sizin için yemek yer,Ăn cho bạn,Jedzie za ciebie,يأكل لك,
,,,Auto-Gym,Авто-гимнастика ,Auto-Gimnasio ,Auto-Ginásio ,Auto-Gym,Auto-Fitnessstudio ,Auto-Gym ,オートジム,자동 헬스장,自动健身房 ,自動健身房 ,Gim Otomatis ,ออโต้-ยิม ,Otomatik Spor Salonu,Phòng tập tự động ,Auto-siłownia,الصالة الرياضية التلقائية ,
,,,Trains for you,Поезда для вас,Entrena para ti ,Treina para você,Des trains pour vous,Züge für dich ,Treni per te,あなたのためのトレーニング,당신을 위한 열차,为你训练 ,為你訓練,Kereta untuk Anda,รถไฟสำหรับคุณ,Sizin için trenler,Xe lửa cho bạn,Pociągi dla ciebie,القطارات لك,
,,,Double capacity,Двойная вместимость,Doble capacidad ,Dupla capacidade,Double capacité,Doppelte Kapazität,Doppia capacità,2倍容量,2배 용량,双倍容量,雙倍容量,Kapasitas ganda ,ความจุสองเท่า,Çift kapasite,Gấp đôi sức chứa,Podwójna pojemność,السعة المضاعفة,
,,,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,贵宾,貴賓,VIP,VIP,VIP,VIP,VIP,الكبار,
,,,Perks + 5 slots,Преимущества + 5 слотов,Beneficios + 5 espacios,Vantagens + 5 slots,Avantages + 5 emplacements,Vorteile + 5 Slots,Vantaggi + 5 slot,特典+5スロット,특전 + 슬롯 5개,技能+5个槽位,額外技能+5欄位,Keuntungan + 5 slot,Perks + 5 ช่อง,Avantajlar + 5 slot,Lợi ích + 5 chỗ,Perki + 5 miejsc,المزايا + 5 فتحات ,
,,"Name of the boss monster that guards the cake, shown on its health-bar nameplate (CakeConfig.bossName)",Cake Guardian,Хранитель тортов,Guardián de pasteles,Guardião de Bolos,Gardien de gâteaux,Kuchenwächter,Guardiano delle torte,ケーキガーディアン,케이크 가디언,蛋糕守护者,蛋糕守護者,Penjaga Kue ,ผู้พิทักษ์เค้ก,Kek Muhafızı,Người giám hộ bánh,Strażnik ciasta,حارس الكعك ,yes
announce-boss-spawned,,,The Cake Guardian awakens!,Хранитель тортов пробуждается!,¡El Guardián de Pasteles se despierta!,O Guardião de Bolos desperta!,Le Gardien des gâteaux se réveille !,Der Kuchenwächter erwacht!,Il Guardiano delle Torte si sveglia!,ケーキガーディアンが目覚めます！,케이크 가디언이 깨어납니다!,蛋糕守护者觉醒了！ ,蛋糕守護者覺醒了！ ,Penjaga Kue bangun!,ผู้พิทักษ์เค้กตื่นขึ้นแล้ว!,Kek Muhafızı uyanıyor!,Người giám hộ bánh thức dậy!,Strażnik ciasta budzi się!,يوقظ حارس الكعكة!,yes
announce-miniboss-defeated,,,MINI-BOSS DOWN! DIG DEEPER!,Мини-босс повержен! Копайте глубже!,¡MINI-JEFE DERROTADO! ¡EXCAVA MÁS PROFUNDO!,MINICHEFE DERROTADO! CAVE MAIS FUNDO!,MINI-BOSS À TERRE ! Creuse plus profondément !,MINI-BOSS BESIEGT! GRABE TIEFER! ,MINI-BOS SCONFITTO! SCAVA PIÙ IN PROFONDITÀ!,ミニボスを倒した！もっと深く掘ろう！,미니 보스를 쓰러뜨렸어요! 더 깊이 파보세요!,小头目被打败了！继续挖掘吧！ ,迷你魔王被擊敗了！繼續挖掘吧！ ,MINI-BOSS JATUH! GALI LEBIH DALAM!,มินิบอสล้มลงแล้ว! ขุดลึกลงไป!,Mini patron düştü! Daha derine kazın!,MINI-BOSS BỊ HẠ! HÃY ĐÀO SÂU HƠN!,MINI-BOSS POKONANY! Kop dalej!,الزعيم الصغير قد سقط! حفر أعمق!,yes
cake-boss,,,BOSS! {timer}s,БОСС! {timer} секунд,JEFE! {timer}s,CHEFE! {timer}s,BOSS ! {timer} s,BOSS! {timer} s,BOSS! {timer} s,ボス！ {timer}秒 ,보스! {timer}초,头目！{timer}秒 ,老闆！{timer}秒 ,BOS! {timer} detik,บอส! {timer}s,Patron! {timer} saniye,BOSS! {timer} giây,Szef! {timer} s,الزعيم! {timer} ثواني,yes
cake-miniboss,,,MINI-BOSS! EAT IT!,Мини-босс! Съешь его!,¡MINI-JEFE! ¡COMELO!,MINI-CHEFE! COMA-O!,MINI-BOSS ! MANGEZ-LE !,MINI-BOSS! Iss es!,MINI-BOS! MANGIALO!,ミニボス！食べよう！,미니-보스! 먹어라!,迷你头目！吃掉它吧！ ,迷你魔王！把它吃掉吧！,MINI-BOSS! MAKAN ITU!,มินิ-บอส! กินมัน!,Mini patron! Onu ye!,MINI-BOSS! ĂN NÓ!,MINI-BOSS! Zjedz to!,الزعيم الصغير! تناوله!,yes
